neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,number_of_reviews_ltm
Bang Rak,13.72633,100.52531,Hotel room,1599,1,1,271,0
Phra Khanong,13.69585,100.61712,Entire home/apt,1190,1,12,145,1
Chatu Chak,13.80792,100.57139,Entire home/apt,1455,1,127,319,22
Bang Rak,13.72633,100.52531,Hotel room,1777,1,1,271,0
Bang Rak,13.72633,100.52531,Hotel room,2222,1,0,57,0
Din Daeng,13.77763,100.57286,Entire home/apt,650,3,30,268,2
Bang Khen,13.88038,100.59526,Entire home/apt,550,1,26,364,0
Vadhana,13.74185,100.55642,Private room,879,4,74,302,1
Vadhana,13.74559,100.56112,Private room,8000,1,0,84,0
Bang Na,13.6827,100.61385,Private room,3844,2,3,361,0
Bang Na,13.683,100.61392,Private room,3290,2,17,361,0
Bang Na,13.67232,100.60417,Private room,560,365,0,364,0
Khlong Toei,13.71262,100.59131,Entire home/apt,1500,1,1,365,1
Vadhana,13.73843,100.5864,Entire home/apt,9697,5,17,363,1
Khlong Toei,13.73644,100.55403,Entire home/apt,1425,2,64,317,1
Sathon,13.71966,100.5485,Entire home/apt,3067,1,128,315,7
Lat Krabang,13.72818,100.71673,Entire home/apt,8955,30,14,364,0
Phaya Thai,13.7655,100.54511,Entire home/apt,2944,1,15,164,0
Phra Khanong,13.69623,100.60655,Private room,481,1,74,264,15
Khlong San,13.72335,100.50326,Entire home/apt,1800,3,0,364,0
Vadhana,13.74002,100.58887,Hotel room,1200,1,0,89,0
Vadhana,13.73947,100.59068,Hotel room,1400,1,0,88,0
Vadhana,13.70992,100.60127,Private room,1400,28,62,259,2
Suanluang,13.73352,100.62642,Private room,800,1,0,365,0
Khlong Toei,13.72792,100.56187,Private room,1732,1,1,365,0
Parthum Wan,13.74798,100.52722,Entire home/apt,1722,10,24,102,5
Vadhana,13.70558,100.60315,Entire home/apt,1039,1,236,324,1
Bang Kapi,13.751440048217772,100.61835479736328,Private room,474,1,105,153,5
Parthum Wan,13.74768,100.52842,Entire home/apt,1549,365,29,364,0
Parthum Wan,13.74637,100.52939,Entire home/apt,1549,365,33,365,0
Pra Wet,13.73064,100.69849,Entire home/apt,800,21,12,360,0
Ratchathewi,13.74949,100.56349,Private room,890,30,2,172,1
Bang Na,13.6608,100.62343,Private room,650,90,0,179,0
Bang Na,13.65913,100.61195,Private room,3214,14,0,358,0
Khlong Toei,13.72478,100.56576,Entire home/apt,1000,2,15,321,13
Lat Krabang,13.70312,100.84375,Private room,1000,1,0,365,0
Phra Khanong,13.68421,100.60449,Entire home/apt,6262,2,73,364,0
Pom Prap Sattru Phai,13.75824,100.50818,Entire home/apt,977,1,308,329,43
Khlong Toei,13.72358,100.5653,Entire home/apt,1500,28,44,317,4
Vadhana,13.736,100.58512,Entire home/apt,1450,6,41,351,3
Chatu Chak,13.8026,100.56171,Private room,2000,1,5,365,0
Yan na wa,13.70086,100.53371,Entire home/apt,1490,1,77,77,4
Sathon,13.71811,100.53203,Entire home/apt,871,1,65,288,19
Vadhana,13.74082,100.59029,Entire home/apt,1600,1,0,89,0
Suanluang,13.74012,100.60321,Entire home/apt,1300,2,0,324,0
Chatu Chak,13.81025,100.56454,Entire home/apt,2200,3,0,363,0
Ratchathewi,13.75167,100.53004,Private room,1212,1,8,363,0
Vadhana,13.72978,100.57187,Private room,1800,2,1,358,0
Phaya Thai,13.79113,100.55942,Private room,890,3,0,362,0
Vadhana,13.71534,100.59184,Entire home/apt,1364,30,302,328,7
Lat Phrao,13.82082,100.61228,Private room,1500,1,3,365,0
Chatu Chak,13.84159,100.55978,Private room,600,1,25,365,0
Khlong San,13.72392,100.49449,Entire home/apt,1000,30,26,120,4
Pom Prap Sattru Phai,13.74536,100.51483,Private room,1213,1,40,172,7
Parthum Wan,13.74353,100.51699,Private room,1164,1,96,161,8
Khlong Toei,13.72801,100.5709,Private room,1450,2,4,363,0
Wang Thong Lang,13.77027,100.59732,Shared room,12500,90,0,173,0
Khlong Toei,13.71851,100.58379,Entire home/apt,600,28,17,66,2
Chom Thong,13.71289,100.46693,Entire home/apt,850,30,3,361,0
Bang Kapi,13.77053,100.63985,Entire home/apt,750,2,32,338,1
Parthum Wan,13.73571,100.54198,Hotel room,15442,1,0,304,0
Parthum Wan,13.73571,100.54198,Hotel room,7277,1,0,308,0
Khlong Toei,13.72883,100.57108,Private room,1450,2,18,363,0
Bang Khen,13.88934,100.60324,Private room,750,1,3,364,0
Bang Na,13.66846,100.64947,Entire home/apt,600,10,5,356,0
Thon buri,13.72179,100.48575,Entire home/apt,831,180,2,364,0
Phra Nakhon,13.75262,100.48993,Entire home/apt,1099,1,1,358,0
Bang Sue,13.83059,100.52576,Entire home/apt,4900,3,71,168,0
Yan na wa,13.67757,100.53552,Private room,990,2,192,338,0
Huai Khwang,13.75168,100.57777,Entire home/apt,1499,30,4,180,0
Don Mueang,13.92494,100.5986,Shared room,400,1,35,365,0
Ratchathewi,13.75469,100.54038,Private room,600,1,4,347,0
Ratchathewi,13.75343,100.53928,Private room,1300,1,2,347,0
Ratchathewi,13.75294,100.54056,Private room,800,1,1,347,0
Vadhana,13.70675,100.60101,Private room,1190,1,1,364,0
Khlong Toei,13.7146,100.58738,Private room,922,30,6,358,0
Khlong Toei,13.72715,100.57302,Private room,1000,2,1,363,0
Huai Khwang,13.77943,100.57812,Private room,500,30,0,87,0
Huai Khwang,13.76928,100.58104,Private room,2019,1,122,354,24
Huai Khwang,13.76021,100.56938,Entire home/apt,2132,28,234,293,4
Sathon,13.72373,100.53806,Private room,3000,2,17,364,0
Khlong San,13.71689,100.49583,Private room,1000,29,0,364,0
Vadhana,13.73571,100.60028,Private room,3700,1,0,362,0
Vadhana,13.73426,100.60192,Private room,1850,1,1,362,0
Vadhana,13.73771,100.58237,Entire home/apt,2251,2,1,362,0
Vadhana,13.73529,100.59991,Hotel room,365,1,2,362,0
Khlong Toei,13.72563,100.56897,Private room,1480,1,1,1,0
Khlong Toei,13.72533,100.57656,Entire home/apt,850,90,169,55,0
Bang Na,13.67236,100.63487,Entire home/apt,1034,3,54,166,0
Bang Sue,13.83127,100.53403,Entire home/apt,693,30,0,365,0
Khlong Toei,13.72563,100.5719,Private room,1049,1,0,360,0
Vadhana,13.73343,100.60158,Entire home/apt,1732,1,0,358,0
Khlong Toei,13.72769,100.57036,Private room,1880,1,0,1,0
Thon buri,13.71634,100.48315,Entire home/apt,2770,10,3,365,0
Ratchathewi,13.75284,100.53124,Shared room,400,1,11,363,0
Phra Khanong,13.68749,100.60382,Private room,780,15,16,153,1
Bang Rak,13.72585,100.53164,Entire home/apt,1600,30,10,56,0
Vadhana,13.71372,100.60014,Private room,900,7,1,339,1
Khlong San,13.72105,100.49781,Entire home/apt,3428,1,0,364,0
Sai Mai,13.91388,100.66776,Entire home/apt,10000,1,0,89,0
Khan Na Yao,13.82152,100.668,Entire home/apt,1850,1,0,179,0
Khlong Toei,13.72649,100.57164,Private room,1200,1,0,365,0
Bang Na,13.66467,100.63608,Private room,700,5,0,179,0
Bang Sue,13.80439,100.52517,Private room,1351,14,0,177,0
Sai Mai,13.90252,100.64232,Entire home/apt,5000,1,0,364,0
Huai Khwang,13.76044,100.56944,Entire home/apt,2239,28,266,338,2
Din Daeng,13.76163,100.55455,Private room,1000,3,3,362,0
Khlong Toei,13.73018,100.56062,Entire home/apt,8500,1,13,358,2
Bang Sue,13.80594,100.53108,Private room,1090,2,38,280,2
Ratchathewi,13.76009,100.53944,Shared room,350,1,4,365,0
Bang Rak,13.72419,100.53075,Entire home/apt,3740,30,75,220,1
Bangkok Noi,13.7637,100.4735,Entire home/apt,650,30,20,210,0
Vadhana,13.72811,100.5764,Entire home/apt,2000,90,0,364,0
Thon buri,13.71922,100.47759,Private room,8000,3,4,179,0
Phra Khanong,13.70415,100.60221,Private room,688,90,7,365,0
Vadhana,13.74102,100.57352,Entire home/apt,1800,3,122,322,21
Khlong Toei,13.71148,100.5925,Hotel room,2329,1,365,47,8
Khlong Toei,13.71155,100.592,Hotel room,2329,1,261,50,4
Vadhana,13.74689,100.55642,Entire home/apt,3211,1,174,234,12
Bang Kho laen,13.70178,100.51739,Entire home/apt,1850,2,100,360,0
Vadhana,13.70558,100.6012,Entire home/apt,899,16,134,261,1
Ratchathewi,13.75954,100.53664,Private room,1321,1,2,355,0
Parthum Wan,13.73651,100.55082,Entire home/apt,1290,7,69,101,12
Sathon,13.71497,100.51245,Entire home/apt,850,1,5,337,2
Wang Thong Lang,13.77201,100.59712,Private room,405,365,0,362,0
Ratchathewi,13.75455,100.55439,Entire home/apt,1557,1,80,239,4
Chatu Chak,13.7961,100.55844,Private room,950,1,2,364,0
Bang Kho laen,13.70217,100.51603,Private room,888,2,0,178,0
Khlong Toei,13.71754,100.57223,Entire home/apt,2286,180,12,364,0
Suanluang,13.73783,100.63285,Private room,1150,1,1,364,0
Khlong San,13.71166,100.50353,Entire home/apt,670,8,47,236,13
Huai Khwang,13.7675,100.57809,Entire home/apt,1177,3,1,271,0
Vadhana,13.73171,100.58721,Entire home/apt,1300,1,32,177,0
Phra Nakhon,13.75841,100.49466,Private room,1699,1,7,365,0
Phra Nakhon,13.75831,100.49488,Private room,5000,1,2,365,0
Bang Na,13.67891,100.60914,Entire home/apt,980,14,66,279,5
Phra Nakhon,13.7562,100.49547,Private room,4000,1,27,365,0
Phra Nakhon,13.75837,100.49535,Private room,4000,1,1,365,0
Bang Khen,13.88944,100.60147,Private room,1900,1,15,365,0
Sathon,13.71329,100.51451,Entire home/apt,1699,300,34,358,0
Bang Rak,13.7261,100.53206,Entire home/apt,1874,16,69,357,1
Phaya Thai,13.77972,100.54106,Entire home/apt,2000,7,44,330,4
Phaya Thai,13.79052,100.54516,Private room,1800,1,0,87,0
Khlong Toei,13.72762,100.57046,Shared room,650,1,4,364,0
Vadhana,13.7425,100.56153,Entire home/apt,10861,1,5,361,0
Yan na wa,13.67762,100.53576,Private room,1020,2,267,356,9
Din Daeng,13.7833,100.57215,Private room,1500,2,0,90,0
Chatu Chak,13.83424,100.57088,Entire home/apt,1385,7,5,328,1
Phaya Thai,13.76538,100.54515,Entire home/apt,2667,1,9,172,0
Bangkok Noi,13.76797,100.48347,Entire home/apt,1659,3,11,355,3
Din Daeng,13.78102,100.57259,Private room,850,1,3,364,0
Bang Kapi,13.74888,100.6064,Private room,10000,15,2,90,0
Phaya Thai,13.77033,100.53773,Shared room,450,1,139,364,0
Phaya Thai,13.76544,100.54515,Entire home/apt,3983,1,25,163,3
Huai Khwang,13.79007,100.57495,Entire home/apt,5162,1,205,283,16
Chatu Chak,13.80137,100.57047,Private room,849,1,348,328,10
Phra Nakhon,13.75676,100.50081,Private room,1768,1,80,295,6
Thon buri,13.70722,100.49537,Private room,1400,3,52,349,0
Vadhana,13.725,100.57956,Private room,1000,30,2,179,0
Vadhana,13.72216,100.58236,Private room,850,1,0,365,0
Huai Khwang,13.75263,100.5744,Entire home/apt,1757,1,173,332,26
Bang Sue,13.83028,100.53169,Entire home/apt,750,1,4,180,0
Sai Mai,13.88657,100.6139,Private room,450,1,0,365,0
Vadhana,13.73267,100.59593,Entire home/apt,2500,2,14,349,0
Bang Kapi,13.77104,100.6647,Entire home/apt,1979,2,27,360,5
Sathon,13.71961,100.5486,Entire home/apt,1993,1,8,266,5
Ratchathewi,13.75275,100.53849,Shared room,415,1,10,362,0
Lak Si,13.88795,100.58498,Entire home/apt,2000,3,9,271,0
Vadhana,13.71507,100.59899,Private room,2175,90,0,365,0
Dusit,13.77327,100.50754,Entire home/apt,1247,30,112,89,0
Din Daeng,13.7732,100.57281,Private room,1080,1,0,180,0
Khlong Toei,13.73646,100.55144,Entire home/apt,1290,7,79,140,4
Vadhana,13.74257,100.55423,Entire home/apt,2182,20,0,71,0
Yan na wa,13.67698,100.53703,Private room,990,2,208,355,3
Pra Wet,13.71768,100.6544,Private room,2000,3,0,365,0
Huai Khwang,13.76048,100.56791,Entire home/apt,4502,1,0,365,0
Phasi Charoen,13.74049,100.45966,Private room,534,7,5,164,0
Lat Krabang,13.72418,100.78451,Private room,1461,1,0,89,0
Huai Khwang,13.75874,100.56717,Private room,2000,30,2,364,0
Yan na wa,13.68917,100.54816,Private room,1489,1,0,90,0
Chatu Chak,13.83701,100.57475,Private room,800,1,19,350,0
Huai Khwang,13.75827,100.57004,Entire home/apt,4502,1,0,364,0
Vadhana,13.74391,100.55079,Private room,2584,1,17,357,0
Bang Kapi,13.75141,100.64224,Private room,3999,1,0,365,0
Vadhana,13.74593,100.55644,Entire home/apt,3000,7,1,358,0
Vadhana,13.73904,100.56038,Private room,1703,1,96,138,1
Khlong Toei,13.72302,100.56635,Entire home/apt,2500,14,1,29,1
Bang Na,13.65491,100.64566,Private room,1150,2,1,178,0
Bang Khae,13.7098,100.38339,Entire home/apt,360,30,1,328,0
Phra Nakhon,13.763241,100.500816,Private room,640,1,6,356,1
Phra Nakhon,13.76324,100.50082,Private room,594,1,24,361,0
Sathon,13.71187,100.53334,Entire home/apt,2078,2,10,172,0
Din Daeng,13.76147,100.56584,Private room,1400,1,0,177,0
Bang Kho laen,13.7006,100.5235,Entire home/apt,730,200,2,364,0
Phra Nakhon,13.75843,100.49478,Private room,1699,1,4,365,1
Phra Nakhon,13.75628,100.49491,Private room,1699,1,0,365,0
Phra Nakhon,13.75839,100.49524,Private room,1699,1,0,365,0
Phra Nakhon,13.75819,100.49542,Private room,4000,1,0,365,0
Phra Nakhon,13.75641,100.49486,Private room,1400,1,0,362,0
Phra Nakhon,13.75613,100.49592,Private room,1400,1,17,362,2
Khlong Toei,13.71739,100.58546,Entire home/apt,1207,1,121,257,34
Khlong San,13.71773,100.50834,Entire home/apt,1586,30,101,333,0
Vadhana,13.73833,100.57339,Entire home/apt,5839,5,0,180,0
Vadhana,13.74293,100.58268,Private room,2000,1,1,365,0
Chatu Chak,13.83761,100.58079,Entire home/apt,5990,1,1,364,0
Ratchathewi,13.75252,100.53234,Entire home/apt,2100,90,14,365,0
Yan na wa,13.67678,100.53534,Private room,990,2,311,336,24
Phra Nakhon,13.75662,100.49482,Private room,4500,1,4,364,0
Huai Khwang,13.74381,100.58845,Private room,3394,1,0,365,0
Khlong Toei,13.72704,100.56272,Entire home/apt,2070,3,82,333,2
Suanluang,13.708396,100.635597,Entire home/apt,1325,5,0,362,0
Sai Mai,13.91318,100.6593,Entire home/apt,2500,360,0,363,0
Huai Khwang,13.74695,100.58423,Entire home/apt,1279,30,4,179,0
Phasi Charoen,13.72358,100.46346,Entire home/apt,450,30,3,54,0
Ratchathewi,13.75392,100.53326,Entire home/apt,10000,30,51,91,0
Chatu Chak,13.81415,100.5679,Private room,850,1,1,364,0
Bangkok Yai,13.72629,100.47083,Entire home/apt,485,60,0,175,0
Bang Na,13.66588,100.63646,Private room,1074,1,2,363,0
Thung khru,13.65185,100.48385,Private room,5900,1,0,364,0
Ratchathewi,13.75919,100.54179,Entire home/apt,4121,2,71,46,16
Sathon,13.72237,100.54462,Entire home/apt,5313,1,77,339,10
Phra Khanong,13.68712,100.60492,Private room,1511,14,2,361,0
Khlong Toei,13.72388,100.56651,Entire home/apt,1050,30,13,249,3
Vadhana,13.72585,100.5781,Entire home/apt,3000,30,0,56,0
Bang Rak,13.73379,100.52291,Private room,2700,30,1,325,0
Huai Khwang,13.74435,100.5887,Entire home/apt,1057,90,0,55,0
Khlong San,13.71054,100.50253,Entire home/apt,4156,30,1,86,0
Thon buri,13.72148,100.48109,Private room,801,1,206,149,8
Huai Khwang,13.79217,100.58118,Private room,990,1,3,364,0
Phra Khanong,13.69974,100.60774,Private room,1555,3,13,47,1
Ratchathewi,13.75289,100.53487,Entire home/apt,1200,10,10,359,0
Sathon,13.70616,100.51829,Entire home/apt,350,1,0,68,0
Phaya Thai,13.783,100.54098,Entire home/apt,1250,2,2,90,0
Bang Sue,13.81846,100.53727,Private room,1800,1,0,362,0
Vadhana,13.72632,100.57614,Private room,1100,90,1,362,0
Pom Prap Sattru Phai,13.74636,100.50544,Entire home/apt,3498,1,1,364,0
Bang Kapi,13.77022,100.63985,Entire home/apt,415,30,8,125,1
Bang Kapi,13.76105,100.63253,Private room,1700,1,1,365,0
Huai Khwang,13.7918,100.58706,Entire home/apt,700,1,26,269,0
Bang Khen,13.88953,100.60293,Private room,790,1,29,364,0
Vadhana,13.74331,100.55896,Entire home/apt,1650,20,65,102,2
Huai Khwang,13.78119,100.58196,Private room,550,1,4,365,0
Vadhana,13.74272,100.57175,Entire home/apt,2424,3,8,83,0
Pra Wet,13.71577,100.65358,Shared room,600,30,0,364,0
Lat Krabang,13.72563,100.72867,Private room,1600,1,0,362,0
Bang Kho laen,13.7057,100.50727,Private room,630,2,120,130,6
Bang Khae,13.70802,100.38347,Entire home/apt,922,1,0,364,0
Vadhana,13.74313,100.55588,Hotel room,3194,2,4,361,2
Chatu Chak,13.82205,100.56391,Entire home/apt,2894,1,10,351,3
Ratchathewi,13.75678,100.53701,Entire home/apt,2000,1,0,364,0
Bang Na,13.66658,100.6031,Entire home/apt,1000,60,44,68,5
Sathon,13.72131,100.54098,Private room,1558,1,0,365,0
Bang Rak,13.72666,100.52813,Private room,1108,1,2,360,0
Ratchathewi,13.756,100.52584,Entire home/apt,2500,1,0,364,0
Phra Khanong,13.70049,100.60581,Private room,762,1,1,90,0
Phasi Charoen,13.73006,100.45413,Private room,850,2,1,180,0
Yan na wa,13.67462,100.53066,Private room,1736,3,7,357,0
Khlong Toei,13.7119,100.58035,Private room,800,89,3,358,0
Huai Khwang,13.7809,100.58376,Private room,400,1,0,365,0
Min Buri,13.7919,100.73745,Shared room,800,1,0,365,0
Ratchathewi,13.75049,100.53946,Entire home/apt,4429,2,116,226,5
Phaya Thai,13.774661,100.541687,Entire home/apt,1300,28,18,226,2
Suanluang,13.73683,100.63994,Private room,1354,1,50,295,9
Khlong Toei,13.70872,100.5947,Entire home/apt,4500,2,243,112,47
Suanluang,13.71211,100.60309,Entire home/apt,814,3,43,337,1
Phra Khanong,13.70082,100.60433,Shared room,540,1,0,365,0
Vadhana,13.74311,100.55085,Entire home/apt,4675,3,75,315,9
Bang Kho laen,13.69759,100.49645,Private room,999,1,0,178,0
Suanluang,13.71929,100.61743,Private room,1004,10,0,365,0
Thon buri,13.73975,100.49141,Private room,499,1,0,358,0
Wang Thong Lang,13.78546,100.61158,Entire home/apt,5000,7,0,89,0
Khlong Toei,13.72897,100.56991,Entire home/apt,4080,1,6,359,1
Huai Khwang,13.79942,100.57646,Entire home/apt,5195,1,14,364,0
Khlong Toei,13.72651,100.56299,Private room,1500,1,1,364,0
Ratchathewi,13.75317,100.53778,Private room,750,4,1,364,0
Phra Khanong,13.69125,100.60847,Private room,2050,30,0,177,0
Wang Thong Lang,13.77412,100.61724,Private room,700,1,0,364,0
Din Daeng,13.7994,100.57419,Entire home/apt,1100,28,27,259,1
Phaya Thai,13.78024,100.53101,Private room,2950,1,11,125,10
Vadhana,13.74079,100.55812,Private room,1790,14,4,354,0
Bang Kapi,13.77462,100.63949,Private room,720,30,1,334,0
Lat Phrao,13.80716,100.60688,Private room,550,1,0,363,0
Nong Chok,13.83817,100.85322,Private room,955,1,0,365,0
Thon buri,13.72675,100.48623,Private room,1800,1,13,271,0
Huai Khwang,13.7823,100.57776,Private room,450,2,1,365,0
Vadhana,13.74308,100.55917,Private room,1428,14,18,364,1
Khan Na Yao,13.83647,100.68551,Private room,1000,1,0,364,0
Huai Khwang,13.76786,100.57956,Entire home/apt,1200,1,1,84,0
Bang Rak,13.72635,100.53167,Entire home/apt,1089,1,37,350,14
Bang Kapi,13.76046,100.6217,Private room,550,180,2,365,0
Thon buri,13.72469,100.48476,Private room,2000,1,20,269,0
Thon buri,13.72458,100.48617,Private room,2700,1,4,268,0
Bang Sue,13.81744,100.53736,Private room,757,3,2,90,0
Phra Nakhon,13.75571,100.50097,Shared room,17316,1,0,365,0
Huai Khwang,13.79062,100.57495,Entire home/apt,6882,1,213,287,20
Ratchathewi,13.7624,100.53894,Private room,1200,1,0,365,0
Bang Na,13.68015,100.60844,Private room,1235,1,6,179,0
Bang Rak,13.73244,100.5203,Shared room,350,1,0,365,0
Bang Rak,13.7272,100.53017,Private room,3180,1,81,172,1
Thon buri,13.71345,100.47757,Entire home/apt,450,80,11,80,2
Bang Rak,13.72506,100.53059,Private room,3180,1,18,171,0
Din Daeng,13.76919,100.56898,Entire home/apt,1000,1,21,354,5
Bang Rak,13.73412,100.52001,Shared room,350,1,2,365,0
Bang Rak,13.73258,100.51817,Private room,1280,1,2,358,0
Bang Rak,13.7336,100.51839,Private room,900,1,3,358,0
Bang Rak,13.73238,100.51822,Private room,1190,1,0,358,0
Bang Phlat,13.78598,100.47224,Private room,850,1,0,363,0
Huai Khwang,13.7441,100.58593,Entire home/apt,1385,30,0,364,0
Parthum Wan,13.74401,100.54849,Entire home/apt,2390,30,3,365,0
Vadhana,13.71711,100.60024,Private room,693,3,0,360,0
Khlong Toei,13.71293,100.58144,Private room,550,7,0,44,0
Phra Nakhon,13.75693,100.49744,Private room,1226,1,34,301,0
Khlong Toei,13.70772,100.5979,Private room,800,1,0,365,0
Phra Nakhon,13.75474,100.5009,Private room,1999,1,1,362,0
Phra Nakhon,13.75489,100.5006,Private room,1999,1,0,364,0
Yan na wa,13.7061,100.53639,Entire home/apt,2290,4,66,132,13
Phaya Thai,13.78966,100.55482,Entire home/apt,1394,1,163,127,47
Chatu Chak,13.83223,100.5602,Private room,1697,14,0,365,0
Khlong Toei,13.7182,100.5861,Entire home/apt,1500,1,2,358,0
Bang Kho laen,13.70088,100.49805,Private room,4500,3,0,177,0
Rat Burana,13.68731,100.49259,Entire home/apt,1200,28,80,295,6
Phra Nakhon,13.75451,100.49981,Private room,850,1,5,338,0
Bang Khun thain,13.65565,100.42325,Private room,1000,1,1,365,0
Khlong Toei,13.71414,100.59092,Entire home/apt,1900,60,2,241,0
Bang Kapi,13.76083,100.63998,Private room,800,3,0,365,0
Phaya Thai,13.79318,100.55499,Entire home/apt,1523,1,182,125,37
Bang Na,13.67078,100.63499,Entire home/apt,971,7,6,56,0
Phaya Thai,13.78437,100.55246,Entire home/apt,2500,30,8,271,1
Chatu Chak,13.79809,100.56258,Private room,1500,1,0,179,0
Chatu Chak,13.81114,100.57355,Private room,1027,2,128,337,20
Lak Si,13.89264,100.57118,Private room,1200,30,0,365,0
Bang Rak,13.72022,100.51684,Entire home/apt,1800,14,13,86,1
Bang Sue,13.80661,100.52776,Private room,599,1,7,129,0
Vadhana,13.73128,100.5753,Private room,2000,7,1,358,0
Vadhana,13.7101,100.60123,Private room,1212,2,0,358,0
Thon buri,13.72439,100.48425,Entire home/apt,6000,1,166,298,34
Phra Nakhon,13.75452,100.50124,Private room,2189,1,9,349,0
Phra Nakhon,13.75455,100.49916,Private room,933,1,46,346,4
Khlong Toei,13.72465,100.56757,Entire home/apt,1166,1,175,133,21
Sathon,13.71896,100.53693,Private room,990,1,0,354,0
Bang Kho laen,13.68798,100.51963,Entire home/apt,799,7,31,341,5
Ratchathewi,13.75365,100.53647,Private room,834,365,0,365,0
Suanluang,13.73388,100.64596,Hotel room,990,1,186,350,7
Phra Nakhon,13.75484,100.49988,Private room,990,1,5,360,0
Vadhana,13.72806,100.58579,Entire home/apt,6000,3,1,210,0
Vadhana,13.74077,100.55947,Private room,2093,3,0,18,0
Khlong Sam Wa,13.90717,100.71754,Entire home/apt,1095,6,0,83,0
Vadhana,13.72481,100.58426,Entire home/apt,1938,14,0,176,0
Lat Krabang,13.73921,100.71728,Private room,519,1,10,365,0
Bang Phlat,13.80086,100.50247,Private room,550,1,1,89,0
Lak Si,13.89671,100.55634,Entire home/apt,750,1,6,179,0
Phra Nakhon,13.7568,100.49636,Private room,4000,1,7,365,0
Phra Nakhon,13.75827,100.49592,Private room,4000,1,28,365,0
Wang Thong Lang,13.76917,100.62389,Private room,1300,1,1,210,0
Vadhana,13.72956,100.57534,Entire home/apt,5012,14,1,166,0
Khlong Toei,13.72532,100.56848,Entire home/apt,1277,1,170,136,24
Ratchathewi,13.75177,100.5255,Private room,1300,30,59,364,1
Vadhana,13.73604,100.5642,Entire home/apt,1106,28,53,152,1
Vadhana,13.72467,100.57991,Entire home/apt,4000,20,91,71,1
Phaya Thai,13.78984,100.53977,Private room,774,30,0,365,0
Khan Na Yao,13.8509,100.66927,Private room,601,1,0,180,0
Bang Sue,13.82858,100.53821,Private room,900,15,8,329,3
Khlong Toei,13.72705,100.56686,Entire home/apt,1147,1,188,140,32
Bang Kho laen,13.68604,100.51912,Entire home/apt,3250,7,56,361,1
Huai Khwang,13.75143,100.57862,Entire home/apt,850,7,24,331,3
Bang Kho laen,13.70538,100.50714,Entire home/apt,1280,1,5,363,0
Ratchathewi,13.75187,100.53307,Private room,1662,45,3,268,0
Suanluang,13.73629,100.64081,Private room,1212,1,20,291,2
Bang Khen,13.87276,100.60309,Private room,1004,1,0,365,0
Phra Khanong,13.69455,100.60735,Private room,2000,5,0,179,0
Phra Khanong,13.70168,100.6,Entire home/apt,760,27,30,255,6
Khlong Toei,13.71054,100.59557,Entire home/apt,3460,10,39,335,2
Chatu Chak,13.80985,100.57142,Entire home/apt,1500,1,0,365,0
Khlong Sam Wa,13.84883,100.7076,Private room,800,1,0,179,0
Suanluang,13.73586,100.63989,Private room,1123,1,73,281,7
Khlong Toei,13.73518,100.55965,Entire home/apt,1258,30,47,237,9
Sathon,13.71817,100.53137,Entire home/apt,2770,2,1,179,0
Huai Khwang,13.79893,100.57502,Entire home/apt,1267,4,191,262,22
Phasi Charoen,13.73912,100.44742,Private room,600,1,0,200,0
Khlong Toei,13.71785,100.57698,Private room,1600,1,0,179,0
Pra Wet,13.67413,100.6485,Entire home/apt,800,2,1,363,0
Chatu Chak,13.82892,100.56484,Entire home/apt,757,28,16,180,0
Bang Rak,13.72518,100.53044,Hotel room,1089,1,9,357,1
Bang Sue,13.8055,100.52264,Private room,929,5,0,356,0
Chatu Chak,13.83155,100.54166,Private room,782,1,9,361,0
Vadhana,13.74219,100.55729,Private room,1428,14,28,354,1
Huai Khwang,13.75613,100.56791,Entire home/apt,1000,26,8,46,1
Yan na wa,13.69924,100.53948,Entire home/apt,880,30,1,365,0
Bang Rak,13.72819,100.52773,Entire home/apt,1795,365,13,90,0
Khlong Toei,13.72505,100.56823,Entire home/apt,1314,21,29,122,8
Vadhana,13.71519,100.59456,Entire home/apt,941,5,151,27,8
Khlong Toei,13.70633,100.59792,Private room,2200,1,0,365,0
Bang Na,13.66482,100.60375,Entire home/apt,750,30,5,348,0
Khlong Toei,13.70646,100.5981,Private room,2200,1,0,365,0
Ratchathewi,13.74994,100.555,Entire home/apt,1818,14,82,149,1
Khlong Toei,13.70645,100.5976,Private room,1717,1,0,365,0
Khlong Toei,13.70832,100.59918,Private room,2200,1,0,365,0
Khlong Toei,13.70867,100.59886,Private room,2202,1,0,365,0
Yan na wa,13.68001,100.54757,Private room,2000,1,1,365,0
Din Daeng,13.78566,100.57134,Private room,943,1,3,356,1
Din Daeng,13.7863,100.57026,Private room,1200,1,5,90,1
Vadhana,13.71029,100.60304,Private room,515,180,0,180,0
Vadhana,13.73035,100.57743,Entire home/apt,1500,30,7,249,1
Phra Khanong,13.68404,100.60326,Private room,999,5,0,343,0
Ratchathewi,13.75099,100.53313,Private room,512,3,0,174,0
Thon buri,13.71715,100.48179,Private room,500,180,0,365,0
Phaya Thai,13.78247,100.54092,Private room,3800,1,1,90,0
Thon buri,13.7179,100.48188,Private room,797,2,126,305,0
Phra Nakhon,13.75495,100.49922,Private room,1689,1,15,350,1
Phra Nakhon,13.75508,100.49927,Private room,1919,1,16,346,2
Bang Na,13.6669,100.60488,Entire home/apt,1200,30,43,62,3
