neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,number_of_reviews_ltm
Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,48,346,3
Bang Kho laen,13.70086,100.52276,Entire home/apt,1211,365,8,365,0
Sathon,13.71922,100.5255,Private room,1736,1,14,356,0
Yan na wa,13.67317,100.54406,Hotel room,1558,2,120,361,0
Suanluang,13.71119,100.63334,Entire home/apt,970,21,1,272,0
Yan na wa,13.70497,100.55134,Private room,2500,1,0,364,0
Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,60,162,1
Bang Kho laen,13.70218,100.52254,Entire home/apt,670,2,38,347,0
Bang Kho laen,13.70039,100.52806,Entire home/apt,720,1,40,359,3
Phra Khanong,13.6937,100.59897,Entire home/apt,1385,3,0,364,0
Sathon,13.71278,100.5156,Entire home/apt,811,2,404,304,19
Vadhana,13.72873,100.58039,Entire home/apt,2000,7,6,62,1
Sathon,13.720317,100.54586,Private room,1629,4,4,82,4
Sathon,13.71659,100.51588,Private room,835,1,0,365,0
Sathon,13.71655,100.51384,Private room,926,1,1,365,0
Sathon,13.71496,100.51406,Private room,866,1,0,365,0
Sathon,13.718,100.51573,Private room,650,1,0,365,0
Sathon,13.71662,100.51572,Shared room,866,1,2,365,0
Bang Rak,13.72687,100.52326,Entire home/apt,5887,30,8,358,0
Don Mueang,13.9277,100.58757,Private room,1250,1,0,365,0
Phaya Thai,13.7736,100.54079,Entire home/apt,2571,3,109,342,56
Phaya Thai,13.77808,100.5416,Entire home/apt,1000,120,18,323,0
Chatu Chak,13.80994,100.5651,Entire home/apt,4156,30,0,348,0
Phaya Thai,13.77776,100.54353,Entire home/apt,3847,9,34,167,0
Vadhana,13.73757,100.55996,Entire home/apt,1485,3,206,130,20
Dusit,13.77537,100.52383,Entire home/apt,2814,1,271,154,2
Sathon,13.72062,100.54707,Entire home/apt,707,1,93,346,11
Bang Kapi,13.75056,100.60844,Private room,1316,5,1,364,0
Bang Rak,13.72225,100.51642,Private room,2061,30,11,365,0
Bang Rak,13.72221,100.51568,Private room,2061,30,3,365,0
Phra Khanong,13.69821,100.60626,Entire home/apt,600,120,77,244,2
Sathon,13.72061,100.54706,Entire home/apt,750,1,426,344,10
Lak Si,13.88974,100.56257,Private room,800,1,27,353,0
Sathon,13.72062,100.54709,Entire home/apt,693,1,224,349,4
Phaya Thai,13.78148,100.54868,Private room,1088,2,1,365,0
Thon buri,13.71699,100.4783,Entire home/apt,2000,7,0,354,0
Bang Na,13.67926,100.61655,Entire home/apt,808,29,147,317,2
Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,4,365,0
Din Daeng,13.78777,100.56551,Entire home/apt,866,1,6,365,0
Parthum Wan,13.74088,100.54102,Entire home/apt,3097,12,120,54,1
Phaya Thai,13.78686,100.54951,Entire home/apt,850,30,14,362,0
Sathon,13.72109,100.53915,Entire home/apt,1212,300,35,271,3
Phra Nakhon,13.76473,100.49718,Entire home/apt,935,30,34,255,1
Phaya Thai,13.78761,100.55319,Entire home/apt,623,365,0,365,0
Sathon,13.70644,100.52544,Entire home/apt,1212,21,0,365,0
Chatu Chak,13.79844,100.55726,Entire home/apt,591,365,0,365,0
Bang Rak,13.72007,100.51711,Private room,1300,30,3,365,0
Bang Rak,13.72063,100.51611,Private room,1300,30,0,365,0
